living_area,year_built,beds,full_bath,half_bath,property_type,list_price,list_price_per_sq_ft,sold_price,sold_price_per_sq_ft,living_area_above_ground,price_per_sq_ft,zip_code,list_date,closing_date
2520,1998,4,2,1,Detached,575000.00,228.17,720000.00,285.71,2520,285.71,27519,3/29/2022,5/2/2022
3113,2010,5,3,0,Detached,659900.00,211.98,720000.00,231.29,3113,231.29,27519,12/21/2021,1/19/2022
2502,1981,3,2,0,Detached,625000.00,249.80,727000.00,290.57,2502,290.57,27519,2/8/2022,3/28/2022
4301,1999,6,4,0,Detached,650000.00,151.13,730000.00,169.73,2225,169.73,27519,2/18/2022,3/31/2022
3009,2005,4,3,0,Detached,630000.00,209.37,730000.00,242.61,3009,242.61,27519,3/30/2022,5/2/2022
2498,1999,4,3,1,Detached,555000.00,222.18,732000.00,293.03,2498,293.03,27519,4/4/2022,5/12/2022
2796,2021,3,3,1,Detached,735211.00,262.95,737316.00,263.70,2796,263.70,27519,8/1/2021,2/1/2022
2796,2021,3,3,1,Detached,749990.00,268.24,740000.00,264.66,2796,264.66,27519,9/7/2021,1/26/2022
3211,2007,5,3,0,Detached,648000.00,201.81,740000.00,230.46,3211,230.46,27519,1/12/2022,2/16/2022
2609,2014,3,2,1,Detached,650000.00,249.14,745000.00,285.55,2609,285.55,27519,3/20/2022,4/28/2022
3894,2021,5,4,1,Detached,745060.00,191.34,745060.00,191.34,3894,191.34,27519,3/8/2021,2/24/2022
4142,2021,5,5,1,Detached,745794.00,180.06,745794.00,180.06,4142,180.06,27519,3/17/2021,2/28/2022
2747,2021,3,3,1,Detached,730190.00,265.81,746824.00,271.87,2747,271.87,27519,6/26/2021,2/2/2022
2419,1993,4,2,1,Detached,650000.00,268.71,752000.00,310.87,2419,310.87,27519,4/19/2022,5/23/2022
3447,2005,4,2,1,Detached,749999.00,217.58,755000.00,219.03,3447,219.03,27519,4/4/2022,5/24/2022
3064,1996,5,2,1,Detached,725000.00,236.62,757000.00,247.06,3064,247.06,27519,3/11/2022,4/25/2022
2034,1979,3,2,0,Detached,740000.00,363.82,760000.00,373.65,1378,373.65,27519,2/24/2022,4/5/2022
3600,1999,5,2,1,Detached,690000.00,191.67,761000.00,211.39,3600,211.39,27519,1/12/2022,2/14/2022
